"edad","reclamaciones","cobertura","salud","credito","cambio_aseguradora","actividad","conduccion","ubicacion","dependientes","ingreso","experiencia","pagos_puntuales","pagos_primas","clase1","clase2"
48,3,3,3,782,2,1,2,1,0,23540,29,84.49,4105.67,1,1
32,0,1,2,678,1,4,2,1,4,51410,10,25.51,9077.01,2,2
68,3,3,1,744,0,1,2,2,4,49511,7,9.16,15586.13,2,1
31,0,3,3,596,2,1,0,3,5,51864,26,64.96,7146.1,3,1
20,0,1,3,536,2,3,1,1,2,36108,7,59.77,8496.5,2,1
59,0,2,2,555,0,3,2,1,5,34603,19,56.06,12775.6,2,1
67,2,1,2,572,2,4,2,2,4,51030,26,57.86,8376.73,3,1
71,1,2,2,493,1,4,1,3,4,68598,12,74.27,1337.57,2,3
60,0,3,2,754,1,4,1,2,3,32694,40,92.89,9063.97,3,1
54,3,3,3,581,0,4,0,2,4,43873,9,67.46,11870.01,3,1
69,0,3,2,473,0,1,2,3,1,51785,15,81.57,16792.36,2,3
31,2,2,2,542,1,2,0,2,4,34376,30,54.1,16034.25,3,2
71,0,3,1,533,0,1,2,3,2,36841,14,12.5,6715.05,2,3
42,2,3,3,459,0,3,1,1,3,54951,38,6.6,9752,2,1
43,1,2,1,693,0,4,0,2,1,7221,25,16.12,2353.9,3,3
44,0,1,3,673,1,3,1,1,0,17075,20,80.11,14655.02,2,1
22,1,3,1,472,2,1,0,3,5,22709,17,45.26,18806.32,3,3
68,1,1,3,811,1,2,0,2,2,55569,7,67.96,4408.57,1,2
44,0,1,1,582,0,1,1,3,4,49964,34,11.05,17916.69,1,2
74,3,2,1,600,0,3,2,2,4,51856,32,72.9,10127.13,2,1
45,1,2,2,603,0,2,2,2,5,24025,1,76.1,1669.1,2,1
74,1,2,3,393,1,4,0,3,3,32535,27,73.09,14941.8,2,3
26,3,1,2,682,2,2,1,2,5,47100,6,10.4,4568.94,3,1
46,2,3,3,630,1,1,2,3,4,36638,2,32.12,17625.02,2,3
52,1,3,1,616,0,1,0,2,3,68707,14,23.96,3885.35,2,3
25,3,3,3,720,1,2,2,2,4,38304,28,8.4,9644.44,2,3
43,0,3,1,681,2,3,1,1,5,42990,6,75.22,9067.59,3,1
24,0,3,1,585,1,1,1,3,0,57285,29,69.35,6739.14,2,3
59,3,3,2,618,0,2,2,1,2,59893,25,74.46,12219.56,3,1
26,2,3,3,490,2,3,1,2,4,32402,20,58.82,8513.63,3,1
79,2,3,2,934,1,4,0,2,5,51900,17,10.19,18566.58,2,1
36,0,3,2,544,1,2,2,2,5,50148,35,81.07,13864.2,2,3
53,0,2,3,579,2,4,0,1,2,19928,26,40.93,11230.83,3,1
